RefDes,Value,Type,Pattern,RS Number
D1,,DBLS202G,DBS,
D20,,1N4007,ES1GL Diode,
D21,,LED,SML-31 LED,
D23,,LED,SML-31 LED,
HDR4_2,4,TE connector 4,4 Way TE Connector,452-612
HDR4_3,4,TE connector 4,4 Way TE Connector,452-612
HDR4_4,4,TE connector 4,4 Way TE Connector,452-612
HDR4_5,4,TE connector 4,4 Way TE Connector,452-612
J1,,HDR-1x8,HDR-1x8,
J2,,1x2 Socket,CR0805,
J3,,HDR-1x4,HDR-1x4,
J5,,1x2 Socket,CR0805,
J6,,1x2 Socket,CR0805,
J14,,1x2 Socket,CR0805,
K2.1,,G2R2,G2R2,365-0529
K2.2,,G2R2,G2R2,
OPTOcoupler1,,CNY17F,CNY17F PDIP, 671-2699
OPTOcoupler2,,CNY17F,CNY17F PDIP, 671-2699
OPTOcoupler3,,CNY17F,CNY17F PDIP, 671-2699
OPTOcoupler4,,CNY17F,CNY17F PDIP, 671-2699
Q3,,BC639,BCY-3/D5.2,800-9585
R1,10K,RES_0805,RES_0805,788-3972
R19,2.2 micro henry,IND_0805,IND_0805,
R22,1k,RES_0805,RES_0805,223-0427
R24,1k,RES_0805,RES_0805,740-8971
R25,1k,RES_0805,RES_0805,740-8971
R26,4700 ohm,RES_0805,RES_0805,740-9031
R27,4700 ohm,RES_0805,RES_0805,740-9031
R28,1k ohm,RES_0805,RES_0805,740-8971
R29,1k ohm,RES_0805,RES_0805,740-8971
R30,10k ohm,RES_0805,RES_0805,788-3972
R31,10k ohm,RES_0805,RES_0805,788-3972
R32,4700 ohm,RES_0805,RES_0805,740-9031
R33,1k ohm,RES_0805,RES_0805,740-8971
R34,1k ohm,RES_0805,RES_0805,740-8971
R35,1k ohm,RES_0805,RES_0805,788-3972
R36,10k ohm,RES_0805,RES_0805,788-3972
R37,10k ohm,RES_0805,RES_0805,788-3972
R42,1k ohm,RES_0805,RES_0805,740-8971
R43,1k ohm,RES_0805,RES_0805,740-8971
R44,1k ohm,RES_0805,RES_0805,740-8971
R45,1k ohm,RES_0805,RES_0805,740-8971
R48,2.0k,RES_2512,RES_2512,
R55,1k,RES_0805,RES_0805,740-8971
R60,1K,RES_0805,RES_0805,788-3972
R69,1k,RES_0805,RES_0805,740-8971
R70,1K,RES_0805,RES_0805,740-3971
